C:SOUND,correct (C),C:SOUND_PRECISE,C:UNSOUND,I:UNSOUND,incorrect (I),R:SOUND,reject (R),R:SOUND_PRECISE,R:UNSOUND,T:SOUND,total (T),T:UNSOUND,valid_acc,test_acc
70.2686456743885,21627,70.2686456743885,29.731354325611505,0,0,0,0,0,0,60.49761146496815,25120,39.50238853503185,86.48,86.07
65.61293879801507,21764,65.61293879801507,34.38706120198493,0,0,0,0,0,0,56.847133757961785,25120,43.152866242038215,85.06,86.4
67.24496877168633,21615,67.24496877168633,32.75503122831367,0,0,0,0,0,0,57.86226114649681,25120,42.13773885350319,85.72,85.8
